label,pattern,attr,replace
myrsidea,Myrsidea abbreviata,lower,
myrsidea,Myrsidea abhorrens,lower,
myrsidea,Myrsidea abidae,lower,
myrsidea,Myrsidea adamsae,lower,
myrsidea,Myrsidea aegithali,lower,
myrsidea,Myrsidea aenigma,lower,
myrsidea,Myrsidea agarwali,lower,
myrsidea,Myrsidea ahmedalii,lower,
myrsidea,Myrsidea aitkeni,lower,
myrsidea,Myrsidea albiceps,lower,
myrsidea,Myrsidea aleixoi,lower,
myrsidea,Myrsidea alexanderi,lower,
myrsidea,Myrsidea amandava,lower,
myrsidea,Myrsidea amblyramphidis,lower,
myrsidea,Myrsidea ananthakrishnani,lower,
myrsidea,Myrsidea anaspila,lower,
myrsidea,Myrsidea anathorax,lower,
myrsidea,Myrsidea andyolsoni,lower,
myrsidea,Myrsidea annae,lower,
myrsidea,Myrsidea anoxanthi,lower,
myrsidea,Myrsidea antiqua,lower,
myrsidea,Myrsidea aquilonia,lower,
myrsidea,Myrsidea arafura,lower,
myrsidea,Myrsidea argentauris,lower,
myrsidea,Myrsidea argentina,lower,
myrsidea,Myrsidea assamensis,lower,
myrsidea,Myrsidea assimilis,lower,
myrsidea,Myrsidea attenuata,lower,
myrsidea,Myrsidea aurantiirostris,lower,
myrsidea,Myrsidea australiensis,lower,
myrsidea,Myrsidea aynazae,lower,
myrsidea,Myrsidea baileyae,lower,
myrsidea,Myrsidea bakeri,lower,
myrsidea,Myrsidea bakttitar,lower,
myrsidea,Myrsidea balati,lower,
myrsidea,Myrsidea balteri,lower,
myrsidea,Myrsidea barbati,lower,
myrsidea,Myrsidea basileuteri,lower,
myrsidea,Myrsidea batesi,lower,
myrsidea,Myrsidea bedfordi,lower,
myrsidea,Myrsidea bennetti,lower,
myrsidea,Myrsidea bensoni,lower,
myrsidea,Myrsidea bessae,lower,
myrsidea,Myrsidea bharat,lower,
myrsidea,Myrsidea bhutanensis,lower,
myrsidea,Myrsidea bidentata,lower,
myrsidea,Myrsidea birmensis,lower,
myrsidea,Myrsidea blattae,lower,
myrsidea,Myrsidea bonariensis,lower,
myrsidea,Myrsidea borbonici,lower,
myrsidea,Myrsidea borneoensis,lower,
myrsidea,Myrsidea brasiliensis,lower,
myrsidea,Myrsidea brevipes,lower,
myrsidea,Myrsidea breviterga,lower,
myrsidea,Myrsidea breviventris,lower,
myrsidea,Myrsidea brunnea,lower,
myrsidea,Myrsidea brunneinuchi,lower,
myrsidea,Myrsidea bubalornithis,lower,
myrsidea,Myrsidea buxtoni,lower,
myrsidea,Myrsidea cacioppoi,lower,
myrsidea,Myrsidea calvi,lower,
myrsidea,Myrsidea campestris,lower,
myrsidea,Myrsidea capeki,lower,
myrsidea,Myrsidea capensis,lower,
myrsidea,Myrsidea carmenae,lower,
myrsidea,Myrsidea carrikeri,lower,
myrsidea,Myrsidea castanonotae,lower,
myrsidea,Myrsidea castroae,lower,
myrsidea,Myrsidea cayanae,lower,
myrsidea,Myrsidea cayanensis,lower,
myrsidea,Myrsidea cecilae,lower,
myrsidea,Myrsidea ceciliae,lower,
myrsidea,Myrsidea cerrodelamuertensis,lower,
myrsidea,Myrsidea cheni,lower,
myrsidea,Myrsidea chesseri,lower,
myrsidea,Myrsidea chiapensis,lower,
myrsidea,Myrsidea chilchil,lower,
myrsidea,Myrsidea cicchinoi,lower,
myrsidea,Myrsidea cinerea,lower,
myrsidea,Myrsidea cinnamomei,lower,
myrsidea,Myrsidea circumsternata,lower,
myrsidea,Myrsidea citrinae,lower,
myrsidea,Myrsidea clamosae,lower,
myrsidea,Myrsidea clayae,lower,
myrsidea,Myrsidea claytoni,lower,
myrsidea,Myrsidea cnemotriccola,lower,
myrsidea,Myrsidea coerebicola,lower,
myrsidea,Myrsidea coloiopsis,lower,
myrsidea,Myrsidea comosa,lower,
myrsidea,Myrsidea conirostris,lower,
myrsidea,Myrsidea conspicua,lower,
myrsidea,Myrsidea contopi,lower,
myrsidea,Myrsidea cornicis,lower,
myrsidea,Myrsidea coronatae,lower,
myrsidea,Myrsidea crassipes,lower,
myrsidea,Myrsidea cristatelli,lower,
myrsidea,Myrsidea cruickshanki,lower,
myrsidea,Myrsidea cucullaris,lower,
myrsidea,Myrsidea cyanocephalae,lower,
myrsidea,Myrsidea cyanopycae,lower,
myrsidea,Myrsidea cyrtostigma,lower,
myrsidea,Myrsidea dacostai,lower,
myrsidea,Myrsidea daleclaytoni,lower,
myrsidea,Myrsidea dalgleishi,lower,
myrsidea,Myrsidea darwini,lower,
myrsidea,Myrsidea dauurica,lower,
myrsidea,Myrsidea destructor,lower,
myrsidea,Myrsidea devastator,lower,
myrsidea,Myrsidea diffusa,lower,
myrsidea,Myrsidea diglossae,lower,
myrsidea,Myrsidea dissimilis,lower,
myrsidea,Myrsidea dolejskae,lower,
myrsidea,Myrsidea dorotheae,lower,
myrsidea,Myrsidea downsi,lower,
myrsidea,Myrsidea dukguni,lower,
myrsidea,Myrsidea dukhunensis,lower,
myrsidea,Myrsidea duplicata,lower,
myrsidea,Myrsidea edgarsmithi,lower,
myrsidea,Myrsidea eisentrauti,lower,
myrsidea,Myrsidea elaeniae,lower,
myrsidea,Myrsidea elbeli,lower,
myrsidea,Myrsidea elegans,lower,
myrsidea,Myrsidea emersoni,lower,
myrsidea,Myrsidea eremialis,lower,
myrsidea,Myrsidea erythrocephali,lower,
myrsidea,Myrsidea eslamii,lower,
myrsidea,Myrsidea estrildae,lower,
myrsidea,Myrsidea eurocephali,lower,
myrsidea,Myrsidea eutiloti,lower,
myrsidea,Myrsidea extranea,lower,
myrsidea,Myrsidea faccioae,lower,
myrsidea,Myrsidea falcatae,lower,
myrsidea,Myrsidea fallax,lower,
myrsidea,Myrsidea fasciata,lower,
myrsidea,Myrsidea finlaysoni,lower,
myrsidea,Myrsidea flaveolae,lower,
myrsidea,Myrsidea flavescens,lower,
myrsidea,Myrsidea flavida,lower,
myrsidea,Myrsidea flavirostrata,lower,
myrsidea,Myrsidea flaviventris,lower,
myrsidea,Myrsidea franciscae,lower,
myrsidea,Myrsidea franciscoloi,lower,
myrsidea,Myrsidea fusca,lower,
myrsidea,Myrsidea fuscicapilla,lower,
myrsidea,Myrsidea fuscicaudae,lower,
myrsidea,Myrsidea fuscomarginata,lower,
